Date,index_conf_indiv,Standard Error
12/31/21,64.89,4.17
11/30/21,59.26,4.73
10/31/21,60.16,4.41
9/30/21,62.07,4.03
8/31/21,64.79,4.01
7/31/21,65.71,4.01
6/30/21,70,3.87
5/31/21,73.38,3.75
4/30/21,76.19,3.79
3/31/21,77.68,3.93
2/28/21,75,4.09
1/31/21,73.17,4
12/31/20,69.17,4.22
11/30/20,70.68,3.95
10/31/20,70.71,3.85
9/30/20,70.07,3.78
8/31/20,73.05,3.74
7/31/20,73.61,3.67
6/30/20,75.89,3.6
5/31/20,74.05,3.83
4/30/20,75,3.71
3/31/20,70.94,4.2
2/29/20,65,4.35
1/31/20,64.35,4.47
12/31/19,62.16,4.6
11/30/19,63.96,4.56
10/31/19,59.79,4.98
9/30/19,63.72,4.52
8/31/19,70.08,4.06
7/31/19,68.22,4.1
6/30/19,72.62,3.44
5/31/19,69.35,3.38
4/30/19,68.37,3.32
3/31/19,67.34,3.32
2/28/19,65.27,3.68
1/31/19,68.15,3.72
12/31/18,64.23,4.32
11/30/18,66.96,4.39
10/31/18,71.03,4.39
9/30/18,72.73,4.05
8/31/18,69.18,3.66
7/31/18,63.43,3.64
6/30/18,68.09,3.4
5/31/18,66.67,3.4
4/30/18,64.1,3.44
3/31/18,63.19,3.78
2/28/18,66,3.87
1/31/18,71.13,3.8
12/31/17,61.27,4.09
11/30/17,60.61,4.25
10/31/17,64.12,4.19
9/30/17,63.76,3.94
8/31/17,59.75,3.89
7/31/17,60.12,3.72
6/30/17,62.5,3.83
5/31/17,61.31,3.76
4/30/17,60.69,3.71
3/31/17,61.54,3.74
2/28/17,64.43,3.92
1/31/17,62.79,4.26
12/31/16,64.71,4.38
11/30/16,65.49,3.99
10/31/16,66.67,3.97
9/30/16,66.45,3.83
8/31/16,67.3,3.72
7/31/16,69.4,3.41
6/30/16,68.22,3.18
5/31/16,71.18,3.47
4/30/16,69.75,3.61
3/31/16,69.12,3.96
2/29/16,67.86,3.95
1/31/16,67.15,4.01
12/31/15,70.69,4.23
11/30/15,72.03,3.75
10/31/15,74.23,3.43
9/30/15,76.05,3.3
8/31/15,75.29,3.27
7/31/15,77.47,3.1
6/30/15,75.44,3.29
5/31/15,75.14,3.25
4/30/15,72.63,3.33
3/31/15,71.93,3.44
2/28/15,71.43,3.49
1/31/15,68.84,3.94
12/31/14,67.74,3.75
11/30/14,63.82,3.9
10/31/14,61.94,4.19
9/30/14,64.97,3.81
8/31/14,70.49,3.37
7/31/14,71.18,3.47
6/30/14,71.35,3.32
5/31/14,74.57,3.31
4/30/14,75.69,3.19
3/31/14,74.19,3.21
2/28/14,68.99,3.68
1/31/14,68.51,3.45
12/31/13,73.3,3.33
11/30/13,74.37,3.09
10/31/13,72.55,3.12
9/30/13,72.16,3.38
8/31/13,75.58,3.28
7/31/13,76.8,3.14
6/30/13,71.51,3.37
5/31/13,68.67,3.6
4/30/13,71.79,3.6
3/31/13,71.02,3.42
2/28/13,70.95,3.39
1/31/13,70.59,3.49
12/31/12,75.15,3.36
11/30/12,76.82,3.43
10/31/12,78.29,3.34
9/30/12,79.88,3.13
8/31/12,78.53,3.09
7/31/12,79.68,2.94
6/30/12,79.71,2.8
5/31/12,78.82,2.56
4/30/12,78.72,2.67
3/31/12,78.6,2.63
2/29/12,77.54,2.72
1/31/12,75.66,2.85
12/31/11,73.6,3.14
11/30/11,75.9,3.32
10/31/11,75.45,3.33
9/30/11,73.17,3.46
8/31/11,74.59,3.24
7/31/11,78.4,2.6
6/30/11,79.13,2.68
5/31/11,77.27,2.98
4/30/11,76.11,2.84
3/31/11,79.08,2.63
2/28/11,80.95,2.86
1/31/11,78.52,3.53
12/31/10,77.46,3.18
11/30/10,76,3.02
10/31/10,77.53,3.13
9/30/10,76.77,3.39
8/31/10,76.57,3.2
7/31/10,76.22,3.32
6/30/10,77.84,3.21
5/31/10,78.79,3.18
4/30/10,76.63,3.12
3/31/10,76.59,2.96
2/28/10,77.58,2.79
1/31/10,79.13,2.68
12/31/09,79.05,2.81
11/30/09,78.08,2.57
10/31/09,79.59,2.57
9/30/09,79.38,2.9
8/31/09,76.63,3.12
7/31/09,72.84,3.49
6/30/09,73.94,3.2
5/31/09,75,3.61
4/30/09,72.16,3.38
3/31/09,74.17,2.83
2/28/09,75.24,2.98
1/31/09,75.45,2.9
12/31/08,73.18,2.99
11/30/08,72.98,2.82
10/31/08,75.82,2.74
9/30/08,74.24,3.11
8/31/08,74.49,2.77
7/31/08,75.18,2.59
6/30/08,72.12,2.47
5/31/08,71.92,2.52
4/30/08,70.75,2.55
3/31/08,72.47,2.24
2/29/08,72.18,2.35
1/31/08,72.33,2.4
12/31/07,76.58,2.38
11/30/07,78.07,2.38
10/31/07,79.41,2.45
9/30/07,77.46,2.86
8/31/07,78.3,2.83
7/31/07,79.27,2.92
6/30/07,80,3.38
5/31/07,80.15,3.42
4/30/07,80,3.38
3/31/07,85.95,3.16
2/28/07,86.36,2.99
1/31/07,85.38,3.1
12/31/06,83.89,3.01
11/30/06,85.29,3.04
10/31/06,85.22,3.31
9/30/06,83.5,3.66
8/31/06,82.35,3.77
7/31/06,82.52,3.74
6/30/06,87.5,3.53
5/31/06,83.33,3.8
4/30/06,83.93,3.47
3/31/06,84.13,3.26
2/28/06,83.93,3.47
1/31/06,82.73,3.6
12/31/05,81.98,3.65
11/30/05,82.73,3.6
10/31/05,80.51,3.65
9/30/05,80.49,3.57
8/31/05,81.82,3.23
7/31/05,84.25,3.01
6/30/05,84.25,3.01
5/31/05,85.52,2.92
4/30/05,86.27,2.78
3/31/05,87.84,2.69
2/28/05,87.7,2.97
1/31/05,87.8,2.95
12/31/04,88.62,2.86
11/30/04,87.2,2.99
10/31/04,87.18,3.09
9/30/04,85.83,3.18
8/31/04,84.87,2.91
7/31/04,83.87,2.95
6/30/04,84.47,2.85
5/31/04,85.42,2.94
4/30/04,87.32,2.79
3/31/04,89.29,2.61
2/29/04,93.38,2.13
1/31/04,95.62,1.75
12/31/03,95.28,1.88
11/30/03,93.18,2.19
10/31/03,92.99,2.04
9/30/03,93.06,2.12
8/31/03,90.57,2.32
7/31/03,88.89,2.54
6/30/03,89.39,2.3
5/31/03,90.86,2.11
4/30/03,91.03,2.29
3/31/03,89.62,2.25
2/28/03,90.85,2.25
1/31/03,90.48,2.26
12/31/02,88.51,2.62
11/30/02,86.47,2.97
10/31/02,85.5,3.08
9/30/02,84.48,3.36
8/31/02,85.04,3.17
7/31/02,87.5,2.76
6/30/02,88.39,2.57
5/31/02,89.33,2.31
4/30/02,88.78,2.2
3/31/02,90.59,2.05
2/28/02,89.08,2.36
1/31/02,88.49,2.71
12/31/01,89.09,2.97